NOME,MORADA,CODIGO POSTAL,EMAIL,NIF,CONTACTO
Cristiana Matias Baptista Neves Costa,Alameda de 25 de Abril Nº196,9534-756,Cristiana.Costa@isec.pt,616839040,963798212
Dulce Nogueira Pinho Baptista,Jardim das Pichas Murchas Nº941,7331-299,Dulce.Baptista@outlook.com,314301683,914301784
Cloé Mónica Vaz Pinho,Avenida de Paiva Couceiro Nº69,2645-694,Cloé.Pinho@trabalho.pt,284638583,921080549
João Vicente Castro Sousa Faria Barbosa,Avenida de Rodrigues de Freitas Nº623,9395-751,João.Barbosa@isec.pt,502700892,932860685
Eduard Amorim Antunes Pires Faria,Avenida de Nun'Álvares Pereira Nº588,2839-155,Eduard.Faria@gmail.com,711449267,933271739
Sophie Cunha Coelho Freitas Costa,Bairro do Aleixo Nº622,3245-032,Sophie.Costa@gmail.com,669243927,968950112
Carmen Azevedo Alves Domingues Pinho,Bairro de Casas Económicas da Azenha Nº537,1786-144,Carmen.Pinho@outlook.pt,717561942,925370748
Christian Brian Borges Figueiredo,Avenida de D. Afonso Henriques Nº491,4486-353,Christian.Figueiredo@hotmail.com,653178638,924207286
Angélico Raposo,Alameda do Dr. Fernando de Azeredo Antas Nº803,4588-584,Angélico.Raposo@outlook.com,599493731,920445185
Milena Santos Marques,Bairro de Casas Económicas de Marechal Gomes da Costa Nº4,6218-950,Milena.Marques@gmail.com,388051808,939882032
Francisco Mendes Santos Fernandes,Bairro de Pio XII Nº985,7255-568,Francisco.Fernandes@outlook.com,397607733,962875704
Soraya Lisandra Raposo Nunes,Bairro de São Roque da Lameira Nº375,8777-501,Soraya.Nunes@hotmail.com,284306218,927823990
Caleb Mark Costa Reis Borges,Bairro de Francos Nº457,3552-168,Caleb.Borges@hotmail.com,745176769,915677850
Lyan Enrique Carvalho Moura Monteiro Carvalho,Beco de S. João da Foz Nº184,7644-471,Lyan.Carvalho@outlook.pt,388235910,932829101
Martim Vicente Magalhães Branco Vieira Garcia,Avenida Flor da Rosa Nº143,6972-934,Martim.Garcia@gmail.com,266195383,914992668
Emanuel Melo Raposo Machado,Bairro de Casas Económicas do Amial Nº24,1417-151,Emanuel.Machado@outlook.pt,442216584,931610684
Ibrahima Guillermo Barros,Bairro de Santo Eugénio Nº658,7156-129,Ibrahima.Barros@isec.pt,564686397,930754674
Isabela Araújo,Bairro de Pio XII Nº372,2855-362,Isabela.Araújo@trabalho.pt,798195244,934905099
Victória Sarah Ferreira Rodrigues Pires Vicente,Beco do Belo Nº619,7593-526,Victória.Vicente@isec.pt,541232423,932617378
Vicente Aurélio Alves Morais Pires,Bairro do Falcão Nº66,8623-660,Vicente.Pires@gmail.com,454445888,928362775
Daisi Gomes Magalhães Lopes,Bairro do Lagarteiro Nº245,4881-838,Daisi.Lopes@hotmail.com,698038226,967693006
Ivana Nuria Branco,Bairro de Casas Económicas da Azenha Nº724,5313-693,Ivana.Branco@gmail.com,722619378,934432944
Tânia Jade Martins Mota,Travessa da Amorosa Nº82,3635-120,Tânia.Mota@outlook.com,666013699,924555096
Aleksandr Isaac Sousa Fonseca Pinho Azevedo,Alameda do Dr. António Macedo Nº256,4628-343,Aleksandr.Azevedo@mundo.pt,349562071,922195291
Sara Ionara Gonçalves Reis Pacheco,Bairro da Fonte da Moura Nº448,5871-097,Sara.Pacheco@gmail.com,340116954,968976465
Elisabeth Baptista Matos Azevedo,Beco do Campo Alegre Nº382,5716-992,Elisabeth.Azevedo@outlook.pt,627674341,915314535
Keven Pinheiro Macedo Leal,Bairro do Aleixo Nº923,4485-462,Keven.Leal@isec.pt,702990582,968052966
Youcef Aleandro Gaspar Araújo Miranda Pacheco,Beco do Machado Nº497,5853-339,Youcef.Pacheco@outlook.com,410761774,960018848
Maiara Eliza Correia Moreira Lourenço,Beco de Carreiras Nº215,3823-766,Maiara.Lourenço@mundo.pt,436634921,935099196
Nataniel Ruslan Reis,Avenida de Fernão de Magalhães Nº202,9939-700,Nataniel.Reis@isec.pt,570579006,938659545
Vando Barros Esteves Marques,Beco da Beneditina Nº485,8762-530,Vando.Marques@trabalho.pt,395438024,914163265
Augusto Élio Andrade,Bairro de São Roque da Lameira Nº82,4585-033,Augusto.Andrade@outlook.pt,271620119,965646341
Bruno Fabian Pinto,Beco do Belo Nº361,2688-933,Bruno.Pinto@mundo.pt,439722627,920138299
Julia Soares Fernandes Gonçalves Vaz,Alameda de Eça de Queirós Nº306,8387-148,Julia.Vaz@trabalho.pt,245233812,969517954
Aisha Oriana Barros,Alameda de Cláudio Carneiro Nº970,4135-311,Aisha.Barros@outlook.pt,265620924,937103266
Maira Thais Fonseca Simões Morais Valente,Alameda Arquitecto Carlos Ramos Nº775,2353-973,Maira.Valente@isec.pt,405046272,962196952
Dora Domingues Teixeira,Avenida José Domingues dos Santos Nº51,9479-147,Dora.Teixeira@mundo.pt,212664934,920218059
Iúri Euclides Baptista,Rua dos Sete Céus Nº152,8148-073,Iúri.Baptista@isec.pt,462731722,936442452
Nikita Giovanni Pereira Santos,Beco do Paço Nº983,5373-802,Nikita.Santos@trabalho.pt,369825324,927802188
Luís Pinheiro,Avenida de Camilo Nº269,2257-931,Luís.Pinheiro@trabalho.pt,295929969,967245205
